iter	Passed	Remaining
313	1706	3728
314	1715	3729
315	1723	3731
316	1729	3726
317	1738	3729
318	1746	3729
319	1755	3730
320	1764	3731
321	1769	3726
322	1779	3728
323	1784	3723
324	1793	3725
325	1800	3722
326	1809	3724
327	1817	3723
328	1824	3720
329	1832	3720
330	1840	3720
331	1848	3719
332	1856	3718
333	1863	3715
334	1873	3718
335	1879	3714
336	1889	3717
337	1897	3717
338	1905	3715
339	1912	3711
340	1919	3708
341	1925	3704
342	1935	3707
343	1946	3711
344	1954	3711
345	1961	3706
346	1970	3708
347	1979	3708
348	1987	3707
349	1995	3706
350	2007	3712
351	2014	3709
352	2023	3709
353	2030	3705
354	2041	3709
355	2066	3737
356	2073	3735
357	2085	3739
358	2097	3744
359	2106	3745
360	2115	3743
361	2121	3739
362	2130	3738
363	2138	3735
364	2146	3734
365	2153	3730
366	2163	3732
367	2173	3732
368	2181	3730
369	2190	3728
370	2205	3739
371	2216	3742
372	2227	3745
373	2236	3742
374	2242	3737
375	2250	3734
376	2257	3730
377	2263	3724
378	2272	3723
379	2277	3716
380	2281	3705
381	2284	3696
382	2288	3686
383	2291	3675
384	2294	3665
385	2297	3655
386	2301	3644
387	2304	3635
388	2308	3625
389	2311	3615
390	2315	3606
391	2318	3596
392	2322	3586
393	2325	3576
394	2328	3567
395	2333	3558
396	2336	3548
397	2339	3539
398	2343	3529
399	2346	3519
400	2349	3509
401	2353	3500
402	2356	3490
403	2359	3481
404	2365	3474
405	2374	3474
406	2380	3468
407	2384	3459
408	2389	3452
409	2392	3443
410	2396	3433
411	2399	3424
412	2403	3416
413	2408	3409
414	2415	3404
415	2423	3401
416	2427	3393
417	2437	3394
418	2445	3391
419	2451	3385
420	2454	3376
421	2458	3366
422	2461	3357
423	2465	3349
424	2471	3343
425	2479	3340
426	2486	3337
427	2490	3327
428	2494	3320
429	2499	3313
430	2507	3309
431	2514	3306
432	2517	3296
433	2521	3287
434	2525	3280
435	2529	3272
436	2532	3262
437	2537	3255
438	2544	3251
439	2555	3252
440	2562	3248
441	2566	3239
442	2570	3231
443	2575	3224
444	2583	3221
445	2590	3217
446	2595	3210
447	2605	3210
448	2614	3208
449	2619	3201
450	2625	3196
451	2635	3195
452	2643	3191
453	2647	3184
454	2652	3177
455	2660	3173
456	2667	3169
457	2672	3162
458	2675	3153
459	2679	3145
460	2685	3139
461	2693	3136
462	2698	3130
463	2702	3122
464	2706	3113
465	2709	3104
466	2712	3096
467	2716	3088
468	2721	3081
469	2727	3075
470	2733	3070
471	2737	3062
472	2740	3053
473	2744	3045
474	2747	3036
475	2750	3028
476	2753	3019
477	2758	3012
478	2763	3005
479	2768	2999
480	2774	2993
481	2778	2986
482	2781	2977
483	2784	2968
484	2788	2961
485	2791	2952
486	2795	2944
487	2798	2936
488	2802	2928
489	2809	2923
490	2814	2917
491	2820	2911
492	2823	2903
493	2826	2895
494	2830	2887
495	2837	2883
496	2842	2876
497	2848	2871
498	2852	2863
499	2855	2855
500	2859	2847
501	2865	2842
502	2872	2838
503	2880	2834
504	2886	2828
505	2889	2821
506	2896	2816
507	2902	2811
508	2909	2806
509	2913	2799
510	2919	2793
511	2928	2790
512	2933	2784
513	2937	2777
514	2942	2770
515	2949	2766
516	2956	2761
517	2960	2754
518	2966	2749
519	2976	2747
520	2981	2740
521	2984	2733
522	2997	2733
523	3005	2730
524	3013	2726
525	3020	2722
526	3026	2716
527	3036	2714
528	3045	2711
529	3053	2707
530	3063	2705
531	3073	2703
532	3081	2699
533	3096	2701
534	3107	2700
535	3115	2697
536	3124	2693
537	3133	2691
538	3141	2686
539	3149	2683
540	3156	2678
541	3164	2674
542	3174	2671
543	3185	2670
544	3192	2665
545	3203	2663
546	3211	2659
547	3223	2658
548	3232	2655
549	3244	2654
550	3251	2649
551	3260	2645
552	3269	2642
553	3279	2640
554	3286	2634
555	3297	2633
556	3306	2629
557	3314	2625
558	3321	2620
559	3331	2617
560	3339	2612
561	3350	2611
562	3357	2606
563	3368	2603
564	3376	2599
565	3385	2596
566	3391	2590
567	3398	2584
568	3420	2591
569	3436	2592
570	3489	2621
571	3505	2622
572	3514	2619
573	3523	2615
574	3536	2613
575	3547	2611
576	3555	2606
577	3564	2602
578	3573	2598
579	3581	2593
580	3589	2588
581	3599	2585
582	3607	2580
583	3616	2576
584	3623	2570
585	3635	2568
586	3641	2562
587	3648	2556
588	3656	2551
589	3663	2546
590	3670	2539
591	3675	2533
592	3685	2529
593	3695	2525
594	3703	2520
595	3712	2516
596	3717	2509
597	3728	2506
598	3736	2501
599	3746	2497
600	3754	2492
601	3765	2489
602	3775	2485
603	3791	2485
604	3797	2479
605	3805	2474
606	3812	2468
607	3820	2463
608	3827	2457
609	3834	2451
610	3842	2446
611	3849	2440
612	3859	2436
613	3867	2431
614	3877	2427
615	3884	2421
616	3896	2418
617	3904	2413
618	3915	2410
619	3924	2405
620	3938	2403
621	3951	2401
622	3966	2400
623	3980	2398
624	3994	2396
625	4003	2391
626	4010	2386
627	4018	2380
628	4026	2375
629	4035	2369
630	4043	2364
631	4048	2357
632	4057	2352
633	4065	2346
634	4075	2342
635	4085	2338
636	4092	2331
637	4105	2329
638	4113	2323
639	4121	2318
640	4129	2312
641	4143	2310
642	4154	2306
643	4162	2301
644	4171	2295
645	4179	2290
646	4187	2284
647	4200	2281
648	4207	2275
649	4213	2268
650	4221	2263
651	4235	2260
652	4244	2255
653	4251	2249
654	4261	2244
655	4270	2239
656	4278	2233
657	4288	2228
658	4295	2222
659	4305	2217
660	4312	2211
661	4321	2206
662	4328	2200
663	4337	2194
664	4348	2190
665	4359	2186
666	4373	2183
667	4387	2180
668	4395	2174
669	4403	2168
670	4411	2162
671	4418	2156
672	4431	2153
673	4442	2148
674	4450	2142
675	4464	2139
676	4470	2132
677	4479	2127
678	4485	2120
679	4495	2115
680	4502	2109
681	4510	2103
682	4518	2096
683	4524	2090
684	4531	2083
685	4537	2077
686	4546	2071
687	4555	2065
688	4559	2058
689	4563	2050
690	4566	2041
691	4569	2034
692	4573	2026
693	4579	2019
694	4586	2012
695	4591	2005
696	4594	1997
697	4598	1989
698	4602	1981
699	4610	1975
700	4616	1969
701	4621	1961
702	4624	1953
703	4628	1945
704	4633	1938
705	4639	1932
706	4645	1925
707	4649	1917
708	4652	1909
709	4657	1902
710	4661	1894
711	4667	1887
712	4673	1881
713	4677	1873
714	4681	1865
715	4684	1858
716	4688	1850
717	4694	1843
718	4700	1837
719	4706	1830
720	4709	1822
721	4712	1814
722	4716	1807
723	4722	1800
724	4728	1793
725	4734	1786
726	4738	1779
727	4741	1771
728	4745	1763
729	4751	1757
730	4758	1750
731	4764	1744
732	4768	1736
733	4772	1729
734	4780	1723
735	4787	1717
736	4791	1709
737	4795	1702
738	4800	1695
739	4806	1688
740	4813	1682
741	4818	1675
742	4834	1672
743	4840	1665
744	4848	1659
745	4856	1653
746	4866	1648
747	4872	1641
748	4887	1637
749	4893	1631
750	4902	1625
751	4908	1618
752	4924	1615
753	4931	1608
754	4938	1602
755	4946	1596
756	4952	1589
757	4963	1584
758	4970	1578
759	4977	1571
760	4983	1564
761	5007	1564
762	5013	1557
763	5023	1551
764	5032	1545
765	5046	1541
766	5056	1536
767	5067	1530
768	5073	1524
769	5083	1518
770	5092	1512
771	5096	1505
772	5103	1498
773	5117	1494
774	5142	1492
775	5159	1489
776	5184	1487
777	5192	1481
778	5210	1478
779	5216	1471
780	5231	1466
781	5240	1460
782	5252	1455
783	5259	1449
784	5263	1441
785	5269	1434
786	5273	1427
787	5283	1421
788	5292	1415
789	5298	1408
790	5301	1400
791	5307	1393
792	5315	1387
793	5325	1381
794	5329	1374
795	5332	1366
796	5336	1359
797	5339	1351
798	5342	1344
799	5346	1336
800	5352	1329
801	5359	1323
802	5369	1317
803	5373	1310
804	5377	1302
805	5382	1295
806	5389	1288
807	5397	1282
808	5401	1275
809	5405	1268
810	5410	1260
811	5416	1254
812	5423	1247
813	5426	1240
814	5431	1232
815	5435	1225
816	5438	1218
817	5441	1210
818	5445	1203
819	5448	1196
820	5452	1188
821	5459	1182
822	5467	1175
823	5472	1168
824	5478	1162
825	5484	1155
826	5489	1148
827	5493	1141
828	5499	1134
829	5507	1127
830	5512	1121
831	5516	1113
832	5520	1106
833	5523	1099
834	5527	1092
835	5530	1084
836	5533	1077
837	5537	1070
838	5544	1063
839	5550	1057
840	5555	1050
841	5559	1043
842	5563	1036
843	5566	1028
844	5571	1021
845	5578	1015
846	5584	1008
847	5588	1001
848	5592	994
849	5596	987
850	5602	980
851	5608	974
852	5612	967
853	5615	960
854	5619	952
855	5622	945
856	5625	938
857	5629	931
858	5633	924
859	5637	917
860	5643	911
861	5650	904
862	5657	898
863	5663	891
864	5669	884
865	5674	878
866	5680	871
867	5688	865
868	5698	859
869	5704	852
870	5708	845
871	5712	838
872	5718	831
873	5727	825
874	5732	818
875	5736	812
876	5740	805
877	5743	798
878	5746	791
879	5751	784
880	5755	777
881	5761	770
882	5768	764
883	5772	757
884	5776	750
885	5779	743
886	5783	736
887	5787	729
888	5793	723
889	5799	716
890	5803	709
891	5806	703
892	5810	696
893	5813	689
894	5818	682
895	5821	675
896	5825	668
897	5829	662
898	5834	655
899	5840	648
900	5846	642
901	5850	635
902	5854	628
903	5858	622
904	5861	615
905	5866	608
906	5875	602
907	5882	595
908	5888	589
909	5896	583
910	5900	576
911	5903	569
912	5906	562
913	5910	556
914	5914	549
915	5918	542
916	5925	536
917	5931	529
918	5935	523
919	5938	516
920	5943	509
921	5948	503
922	5955	496
923	5959	490
924	5962	483
925	5966	476
926	5969	470
927	5973	463
928	5977	456
929	5982	450
930	5988	443
931	5995	437
932	6004	431
933	6008	424
934	6014	418
935	6036	412
936	6042	406
937	6048	399
938	6052	393
939	6056	386
940	6060	379
941	6064	373
942	6069	366
943	6073	360
944	6080	353
945	6087	347
946	6093	341
947	6100	334
948	6112	328
949	6119	322
950	6123	315
951	6128	308
952	6134	302
953	6138	296
954	6143	289
955	6147	282
956	6154	276
957	6163	270
958	6171	263
959	6182	257
960	6190	251
961	6194	244
962	6199	238
963	6205	231
964	6214	225
965	6223	219
966	6234	212
967	6245	206
968	6252	200
969	6260	193
970	6264	187
971	6270	180
972	6279	174
973	6293	167
974	6303	161
975	6314	155
976	6324	148
977	6331	142
978	6341	136
979	6353	129
980	6360	123
981	6369	116
982	6377	110
983	6383	103
984	6387	97
985	6391	90
986	6396	84
987	6403	77
988	6411	71
989	6417	64
990	6426	58
991	6435	51
992	6443	45
993	6451	38
994	6457	32
995	6463	25
996	6469	19
997	6476	12
998	6483	6
999	6488	0
